College ,Acceptance_Rate_2020,4_Year_Graduation_Rate_2020,Acceptance_Rate_2022,4_Year_Graduation_Rate_2022,Acceptance_Rate_2024,4_Year_Graduation_Rate_2024
University_of_Maryland ,51,73.7,44.6,77.2,45,76.4
University_of_Michigan ,22.9,82,20.2,81,18,81
Michigan_State_University ,76.31,81.3,87.9,82,88,83
University_of_Iowa ,84.3,63,86,63.6,86,66
Indiana_University,80.3,69,82,69,82,69
University_of_Illinois,59,71,48,71,44,71
University_of_Minnesota,69.6,74.5,74.9,71,77,74.5
University_of_Nebraska,78,46,78.6,46,79,46
Northwestern_University,10,86,8.4,86,7,88
Ohio_State_University,53,87,51,72,53,72.8
Pennsylvania_State_University ,52.2,72,55,69,54,54
Purdue_University,52,60,52.7,64,49.8,62
Rutgers_University,66.9,68,66.3,68,65,61
University_of_Wisconsin,43,75.8,49.1,75.5,45,75.8
University_of_California,69.5,73,68,72.9,70,73
University_of_Southern_California,16.5,79,12,79,10,79
University_of_Oregon,86.3,60.7,86,59,86,61
University_of_Washington,56,71,47.5,71,43,71
